record_id,filepath,relative_path,label,validation_fold,source_dataset,group_id,group_rule,sha256,splitter_name,split_seed
rec_db0170c6e9143b76c98f,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1215_M_eairh.wav,belly_pain/1215_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:487e3eb23e700a93ef569d9848ce1bafcf2e4e468e007031a8b0b6283a5e8bee,exact_content_sha256,487e3eb23e700a93ef569d9848ce1bafcf2e4e468e007031a8b0b6283a5e8bee,StratifiedGroupKFold,42
rec_fcc4c169f306104793fd,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1588_M_eairh.wav,belly_pain/1588_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:3aee28552080d0db55ac45d25e6d46ebae7467cc388c524b13faf129bf003010,exact_content_sha256,3aee28552080d0db55ac45d25e6d46ebae7467cc388c524b13faf129bf003010,StratifiedGroupKFold,42
rec_e341b409fa744b48140a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2367_M_eairh.wav,belly_pain/2367_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:e3ce17f21b22673c82f4a63dd7117b0410f98a3745647c7ff5c35cec64ca57d5,exact_content_sha256,e3ce17f21b22673c82f4a63dd7117b0410f98a3745647c7ff5c35cec64ca57d5,StratifiedGroupKFold,42
rec_fba775c7ee6d938c4a28,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2566_M_eairh.wav,belly_pain/2566_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:5377e15bec247bb4fc99b1fb8b9da60f015ba762d74eeff24cd2f5585862eb51,exact_content_sha256,5377e15bec247bb4fc99b1fb8b9da60f015ba762d74eeff24cd2f5585862eb51,StratifiedGroupKFold,42
rec_e41629e8492bfc07276b,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3151_M_eairh.wav,belly_pain/3151_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:293beabf94de845d2ae87921a7f2a6650437fa8cae1473d65a1c15c47c7eeb6c,exact_content_sha256,293beabf94de845d2ae87921a7f2a6650437fa8cae1473d65a1c15c47c7eeb6c,StratifiedGroupKFold,42
rec_b52b02478d157dfacee6,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3541_M_eairh.wav,belly_pain/3541_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:51dec0650062e417dce26bbc145516b70bec5878a987e8315e8209d35bdf200b,exact_content_sha256,51dec0650062e417dce26bbc145516b70bec5878a987e8315e8209d35bdf200b,StratifiedGroupKFold,42
rec_bd03bef6ee0cbaf1d721,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3616_F_eairh.wav,belly_pain/3616_F_eairh.wav,belly_pain,1,infantcry_dbl,sha256:38af269403eb35e2190602c68f29d1c8b21badf487add598dbeb052b1016c247,exact_content_sha256,38af269403eb35e2190602c68f29d1c8b21badf487add598dbeb052b1016c247,StratifiedGroupKFold,42
rec_0c5e583cba7fea6e7572,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3688_M_eairh.wav,belly_pain/3688_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:d87db9a818f937ab365fd3d3f2cd1aa2c176dc8013f89f667c2cc28dcbe20948,exact_content_sha256,d87db9a818f937ab365fd3d3f2cd1aa2c176dc8013f89f667c2cc28dcbe20948,StratifiedGroupKFold,42
rec_b6b66fb3f3de74db9ab8,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3825_M_eairh.wav,belly_pain/3825_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:c4dd31085491fcac478954373ed0b61c18481364ceae041793da9518a16b2f64,exact_content_sha256,c4dd31085491fcac478954373ed0b61c18481364ceae041793da9518a16b2f64,StratifiedGroupKFold,42
rec_c3629105ce9cd90cfd02,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4186_M_eairh.wav,belly_pain/4186_M_eairh.wav,belly_pain,1,infantcry_dbl,sha256:755ceb576cd3b8a108b048923e3c5eb915f2cd55aa609144f4cd19a60567f40a,exact_content_sha256,755ceb576cd3b8a108b048923e3c5eb915f2cd55aa609144f4cd19a60567f40a,StratifiedGroupKFold,42
