record_id,filepath,relative_path,label,validation_fold,source_dataset,group_id,group_rule,sha256,splitter_name,split_seed
rec_fefa338d580873c2cd3e,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\1190_M_eairh.wav,belly_pain/1190_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:1746eae8c464c72b2186a2f22bcb7faf1a39fb2c5e08cf76ff14a0968938cd86,exact_content_sha256,1746eae8c464c72b2186a2f22bcb7faf1a39fb2c5e08cf76ff14a0968938cd86,StratifiedGroupKFold,42
rec_dc2883d8ee245da07d43,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\2243_M_eairh.wav,belly_pain/2243_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:48a1acab4344409f504f469f020678d7776f3065a0515c5f8140902692bf45e5,exact_content_sha256,48a1acab4344409f504f469f020678d7776f3065a0515c5f8140902692bf45e5,StratifiedGroupKFold,42
rec_bc25d1ebb8434b66682a,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\2293_F_eairh.wav,belly_pain/2293_F_eairh.wav,baby,1,infantcry_dbl,infant_sha256:ff50650762c3b1d1842ff03588c477ad4443b96d05b8c4e92e688545e5b4b2a6,exact_content_sha256,ff50650762c3b1d1842ff03588c477ad4443b96d05b8c4e92e688545e5b4b2a6,StratifiedGroupKFold,42
rec_c7ab84dc1e25a511f089,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\3054_M_eairh.wav,belly_pain/3054_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:6bc38b9d403174682237bddf276b0324d8012977537635873e41d7e975daab8f,exact_content_sha256,6bc38b9d403174682237bddf276b0324d8012977537635873e41d7e975daab8f,StratifiedGroupKFold,42
rec_0ddf3d9b53d6a320397d,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\3326_F_eairh.wav,belly_pain/3326_F_eairh.wav,baby,1,infantcry_dbl,infant_sha256:adcac87f26a49067239153fa1158ad07ba16cc95c27ae12791dd2fec2b1dcc90,exact_content_sha256,adcac87f26a49067239153fa1158ad07ba16cc95c27ae12791dd2fec2b1dcc90,StratifiedGroupKFold,42
rec_a5ec4310f567f29fe0e6,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\3482_M_eairh.wav,belly_pain/3482_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:3c11511aa2aca6cffaf290fbdd2542ea6d350ae044f19f311ba289e0c4b09540,exact_content_sha256,3c11511aa2aca6cffaf290fbdd2542ea6d350ae044f19f311ba289e0c4b09540,StratifiedGroupKFold,42
rec_2730b77759b8808a6d27,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\3786_M_eairh.wav,belly_pain/3786_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:5ad24efaebed6b3f809e343af4784b8bad8ba5db04c3291efa282967ee103993,exact_content_sha256,5ad24efaebed6b3f809e343af4784b8bad8ba5db04c3291efa282967ee103993,StratifiedGroupKFold,42
rec_b6b66fb3f3de74db9ab8,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\3825_M_eairh.wav,belly_pain/3825_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:c4dd31085491fcac478954373ed0b61c18481364ceae041793da9518a16b2f64,exact_content_sha256,c4dd31085491fcac478954373ed0b61c18481364ceae041793da9518a16b2f64,StratifiedGroupKFold,42
rec_212b93ff5570b7840e1a,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\419_M_eairh.wav,belly_pain/419_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:8211fc9f4a86ac992f108ee8a1c5e4c625c95e4466c9e977011037937c434a46,exact_content_sha256,8211fc9f4a86ac992f108ee8a1c5e4c625c95e4466c9e977011037937c434a46,StratifiedGroupKFold,42
rec_50da61b23db30480db84,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\4601_M_eairh.wav,belly_pain/4601_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:9fde7aede32b5320f792a545ddab382f6ff2f83e44d7609fd5c01e44dd8becfa,exact_content_sha256,9fde7aede32b5320f792a545ddab382f6ff2f83e44d7609fd5c01e44dd8becfa,StratifiedGroupKFold,42
rec_f6e860c75ce7b1ebce05,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\4711_M_eairh.wav,belly_pain/4711_M_eairh.wav,baby,1,infantcry_dbl,infant_sha256:4aefb574b66e26210f7814e88826959577ca75e345ee5a9a40c33961fe62eeb2,exact_content_sha256,4aefb574b66e26210f7814e88826959577ca75e345ee5a9a40c33961fe62eeb2,StratifiedGroupKFold,42
rec_f08400013ae835c03434,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_12.wav,belly_pain/dunstan-eairh_12.wav,baby,1,infantcry_dbl,infant_sha256:e33c040d318e88074a5e32071647b074a58253e31f6e75f9d83fdf7dd9b12910,exact_content_sha256,e33c040d318e88074a5e32071647b074a58253e31f6e75f9d83fdf7dd9b12910,StratifiedGroupKFold,42
rec_bc38ab67adac26f034e8,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_13.wav,belly_pain/dunstan-eairh_13.wav,baby,1,infantcry_dbl,infant_sha256:531199248551ecacbd79c1e9d0bf08bb29ceff42f6aba4a21120d8d45ee433d8,exact_content_sha256,531199248551ecacbd79c1e9d0bf08bb29ceff42f6aba4a21120d8d45ee433d8,StratifiedGroupKFold,42
rec_886741e63dcc59e4d15d,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_2.wav,belly_pain/dunstan-eairh_2.wav,baby,1,infantcry_dbl,infant_sha256:25f1e26744ef82ed08155d85bcfef388e18abb2761bf5ac65e793a8ac751e8e4,exact_content_sha256,25f1e26744ef82ed08155d85bcfef388e18abb2761bf5ac65e793a8ac751e8e4,StratifiedGroupKFold,42
rec_86e990c657f137ebbf87,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_20.wav,belly_pain/dunstan-eairh_20.wav,baby,1,infantcry_dbl,infant_sha256:59f26d398c8d75cac875d3dadf48b580f1b9b2c69582929bba7a11539183dd17,exact_content_sha256,59f26d398c8d75cac875d3dadf48b580f1b9b2c69582929bba7a11539183dd17,StratifiedGroupKFold,42
rec_6f6b4910a46d0f5c9466,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_29.wav,belly_pain/dunstan-eairh_29.wav,baby,1,infantcry_dbl,infant_sha256:e44b9fc6ecf405f8ab3ca7aa5c691143ddbd967800c062adaeeed7ae11642588,exact_content_sha256,e44b9fc6ecf405f8ab3ca7aa5c691143ddbd967800c062adaeeed7ae11642588,StratifiedGroupKFold,42
rec_38916b588bfc277e0233,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_34.wav,belly_pain/dunstan-eairh_34.wav,baby,1,infantcry_dbl,infant_sha256:a79e79453842b7491c0ec793e4bfe32ddf2796404fd2b2ae15b5811375ac25e2,exact_content_sha256,a79e79453842b7491c0ec793e4bfe32ddf2796404fd2b2ae15b5811375ac25e2,StratifiedGroupKFold,42
rec_917b2809b108d84393e1,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_37.wav,belly_pain/dunstan-eairh_37.wav,baby,1,infantcry_dbl,infant_sha256:caa05b68e4398b392e93318279ed291d5e98ba1a643d33bf8fd280786153e9d8,exact_content_sha256,caa05b68e4398b392e93318279ed291d5e98ba1a643d33bf8fd280786153e9d8,StratifiedGroupKFold,42
